Model,Fiyat,Resim_Link,Kaynak_Link,United Kingdom,The Netherlands,Germany,City - Cold Weather *,Highway - Cold Weather *,Combined - Cold Weather *,City - Mild Weather *,Highway - Mild Weather *,Combined - Mild Weather *,First Leg Distance,Charging Stop,Second Leg Distance,Total Distance,First Leg Duration,Second Leg Duration,Total Duration,Nominal Capacity,Battery Type,Number of Cells,Architecture,Warranty Period,Warranty Mileage,Useable Capacity,Cathode Material,Pack Configuration,Nominal Voltage,Form Factor,Name / Reference,Charge Port,Port Location,Charge Power,Charge Time (0->265 km),Charge Speed,Charge Power (max),Charge Power (10-80%),Autocharge Supported,Plug & Charge Supported,Supported Protocol,Preconditioning Possible,Automatically using Navigation,Acceleration 0 - 100 km/h,Top Speed,Electric Range *,Total Power,Total Torque,Drive,V2L Supported,Max. Output Power,Exterior Outlet(s),Interior Outlet(s),V2H via AC Supported,V2H via DC Supported,V2G via AC Supported,V2G via DC Supported,Range *,Vehicle Consumption *,CO2 Emissions,Vehicle Fuel Equivalent *,Range,Rated Consumption,Vehicle Consumption,Rated Fuel Equivalent,Vehicle Fuel Equivalent,Length,Width,Width with mirrors,Height,Wheelbase,Weight Unladen (EU),Gross Vehicle Weight (GVWR),Max. Payload,Cargo Volume,Cargo Volume Max,Cargo Volume Frunk,Roof Load,Tow Hitch Possible,Towing Weight Unbraked,Towing Weight Braked,Vertical Load Max,Seats,Isofix,Turning Circle,Platform,EV Dedicated Platform,Car Body,Segment,Roof Rails,Heat pump (HP),HP Standard Equipment,0,1,2,3,4,5,Useable Capacity*,Charge Time (0->455 km),Total Power *,Total Torque *,Adult Occupant,Child Occupant,Rating Year,Vulnerable Road Users,Safety Assist,Charge Time (0->255 km),Charge Time (0->425 km),City - Cold Weather,Highway - Cold Weather,Combined - Cold Weather,City - Mild Weather,Highway - Mild Weather,Combined - Mild Weather,Charge Time (0->370 km),Electric Range,Weight Measured,Weight Distribution (F/R),Weight Front Axle,Weight Rear Axle,Charge Time (0->230 km),Charge Time (0->205 km),Nominal Capacity							*,Charge Time (0->365 km),Charge Time (0->470 km),Charge Time (0->500 km),Charge Time (0->275 km),Charge Time (0->325 km),Charge Time (0->315 km),Charge Time (0->250 km),Charge Time (0->270 km),Acceleration 0 - 100 km/h *,Charge Time (0->465 km),Charge Time (0->85 km),Port Location 2,Charge Time (0->485 km),Charge Time (0->300 km),Charge Time (0->440 km),Port Location 2 ‡,Charge Time (0->525 km),Charge Time (0->480 km),Charge Time (0->460 km),Charge Time (0->355 km),Charge Time (0->495 km),Charge Time (0->95 km),Charge Time (0->530 km),Charge Time (0->335 km),Charge Time (0->360 km),Charge Time (0->385 km),Charge Time (0->505 km),Charge Time (0->520 km),Charge Time (0->545 km),Charge Time (0->390 km),Charge Time (0->415 km),Charge Power (max) *,Charge Power (10-80%) *,Charge Speed *,Charge Time (0->350 km),Charge Time (0->280 km),Charge Time (0->450 km),Charge Time (0->345 km),Charge Time (0->165 km),Charge Time (0->290 km),Charge Time (0->170 km),Charge Time (0->185 km),Charge Time (0->320 km),Charge Time (0->380 km),Charge Time (0->150 km),Charge Time (0->420 km),Charge Time (0->445 km),Charge Time (0->550 km),Charge Time (0->225 km),Charge Time (0->475 km),Weight Unladen (EU) *,Charge Time (0->435 km),Charge Time (0->310 km),Charge Time (0->285 km),Charge Time (0->540 km),Charge Time (0->400 km),Charge Time (0->180 km),Charge Time (0->405 km),Charge Time (0->235 km),Charge Time (0->720 km),Charge Time (0->295 km),Charge Time (0->490 km),Charge Time (0->135 km),Length *,Width *,Width with mirrors *,Height *,Towing Weight Unbraked *,Towing Weight Braked *,Vertical Load Max *,Charge Time (0->125 km),Charge Time (0->260 km),Charge Time (0->410 km),Rated Consumption *,Rated Fuel Equivalent *,Charge Time (0->565 km),Charge Time (0->160 km),United Kingdom *,Charge Time (0->240 km),Charge Time (0->395 km),Charge Time (0->510 km),Charge Time (0->340 km),Charge Time (0->430 km),Charge Time (0->555 km),Charge Time (0->100 km),Charge Time (0->330 km),Charge Time (0->140 km),Charge Time (0->245 km),The Netherlands *,Charge Time (0->605 km),Charge Time (0->375 km),Charge Time (0->175 km),Charge Time (0->190 km),Charge Time (0->120 km),Charge Time (0->535 km),Charge Time (0->665 km),Charge Time (0->200 km),Charge Time (0->515 km),Charge Time (0->570 km),Charge Time (0->580 km),Charge Time (0->305 km),Charge Time (0->615 km),Charge Time (0->610 km),Germany *,Charge Time (0->220 km),Charge Time (0->590 km),Charge Time (0->575 km),Charge Time (0->640 km),Charge Time (0->215 km),Charge Time (0->560 km),Charge Time (0->585 km),Charge Time (0->685 km),Charge Time (0->210 km),Charge Time (0->635 km),Charge Time (0->600 km),Top Speed *,Charge Time (0->145 km),Charge Time (0->655 km),Charge Time (0->155 km),Charge Time (0->105 km),Charge Time (0->115 km),Charge Power *,Charge Time (0->500 km) *,Charge Time (0->350 km) *,Charge Time (0->670 km),kW_Gucu,Euro_Fiyat,Tahmini_TR_Fiyati_TL
Smart #5 Pro (MY25),N/A,,https://ev-database.org/car/3141/Smart-5-Pro,Since October 2025,Since May 2025,Since May 2025,201 Wh/km,281 Wh/km,236 Wh/km,139 Wh/km,222 Wh/km,177 Wh/km,266 km,15 min,129 km,395 km,2h 25min,1h 10min,3h 50min,76.0 kWh,Lithium-ion,No Data,400 V,8 years,"200,000 km",74.4 kWh,LFP,No Data,No Data,No Data,No Data,CCS,Left Side - Rear,11 kW AC,,510 km/h,150 kW DC,110 kW DC,Yes,Yes,ISO 15118-2,Yes,Yes,6.9 sec,200 km/h,370 km,250 kW (340 PS),373 Nm,Rear,Yes,-,1 x Type 2 (Adapter),-,No,No,No,No,370 km,201 Wh/km,0 g/km,2.3 l/100km,465 km,185 Wh/km,160 Wh/km,2.1 l/100km,1.8 l/100km,4695 mm,1920 mm,2169 mm,1705 mm,2900 mm,2275 kg,2700 kg,500 kg,630 L,1530 L,72 L,100 kg,Yes,750 kg,1600 kg,100 kg,5 people,"Yes, 3 seats",11.2 m,Geely SEA3,Yes,SUV,JD - Large,Yes,No,-,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,88%,93%,2025,84%,92%,,,,,,,,,8 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Fisker Ocean Sport,N/A,,https://ev-database.org/car/1709/Fisker-Ocean-Sport,Mar 2023 - Jun 2024,Nov 2023 - Jun 2024,Mar 2023 - Jun 2024,206 Wh/km,284 Wh/km,241 Wh/km,142 Wh/km,222 Wh/km,180 Wh/km,253 km,15 min,138 km,391 km,2h 18min,1h 15min,3h 48min,73.0 kWh,Lithium-ion,No Data,400 V,10 years,"160,000 km",,LFP,No Data,No Data,No Data,No Data,CCS,Left Side - Front,,,,,,Yes,No,-,Yes,No Data,7.4 sec,,350 km,205 kW (279 PS),No Data,Front,No,-,-,-,No,No,No,No,350 km,203 Wh/km,0 g/km,2.3 l/100km,464 km,No Data,153 Wh/km,No Data,1.7 l/100km,4774 mm,1982 mm,No Data,1631 mm,2921 mm,,No Data,No Data,476 L,918 L,0 L,No Data,Yes,No Data,1090 kg,No Data,5 people,No Data,No Data,No Data,No Data,SUV,JD - Large,No Data,No,-,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,71.0 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 kW DC,100 kW DC,470 km/h,,,,,,,,,,,,,,,,,2300 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160 km/h,,,,,,11 kW AC,,7h45m,,0.0,0,0
Tesla Model 3 Standard Range Plus (CATL LFP55),N/A,,https://ev-database.org/car/1320/Tesla-Model-3-Standard-Range-Plus,Nov 2020 - Dec 2021,Nov 2020 - Dec 2021,Nov 2020 - Dec 2021,,,,,,,256 km,15 min,156 km,412 km,2h 20min,1h 25min,4h 0min,,Lithium-ion,106,400 V,8 years,"160,000 km",,LFP,106s1p,340 V,Prismatic,CATL LFP55,CCS,Left Side - Rear,11 kW AC,,610 km/h,170 kW DC,95 kW DC,Yes,No,-,Yes,Yes,5.6 sec,225 km/h,,,,Rear,No,-,-,-,No,No,No,No,,,0 g/km,,440 km,142 Wh/km,119 Wh/km,1.6 l/100km,1.3 l/100km,4694 mm,1849 mm,2088 mm,1443 mm,2875 mm,1825 kg,2139 kg,389 kg,561 L,977 L,88 L,70 kg,Yes,750 kg,1000 kg,55 kg,5 people,"Yes, 2 seats",11.6 m,Tesla 3/Y,Yes,Sedan,D - Large,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,52.5 kWh,,239 kW (325 PS),420 Nm,96%,86%,2019,74%,94%,,,159 Wh/km,210 Wh/km,181 Wh/km,103 Wh/km,159 Wh/km,130 Wh/km,,350 km,1840 kg,49% / 51%,900 kg,940 kg,,,55.0 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5h45m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Renault Scenic E-Tech EV87 220hp,N/A,,https://ev-database.org/car/2069/Renault-Scenic-E-Tech-EV87-220hp,Dec 2023 - Jun 2025,Dec 2023 - Jun 2025,Feb 2024 - Jun 2025,,,,,,,345 km,15 min,137 km,481 km,3h 8min,1h 14min,4h 37min,,Lithium-ion,192,400 V,8 years,"160,000 km",87.0 kWh,NMC,96s2p,No Data,Pouch,No Data,CCS,Passenger Side - Front,22 kW AC,,500 km/h,150 kW DC,95 kW DC,Yes,No,-,Yes,Yes,7.9 sec,170 km/h,,160 kW (218 PS),300 Nm,Front,No,-,-,-,No,No,No,No,,,0 g/km,,592 km,180 Wh/km,147 Wh/km,2.0 l/100km,1.7 l/100km,4470 mm,1864 mm,2085 mm,1571 mm,2785 mm,1917 kg,2441 kg,599 kg,545 L,1670 L,0 L,80 kg,Yes,750 kg,1100 kg,75 kg,5 people,"Yes, 3 seats",10.9 m,AmpR Medium,Yes,SUV,JC - Medium,Yes,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,181 Wh/km,256 Wh/km,215 Wh/km,123 Wh/km,198 Wh/km,158 Wh/km,,480 km,,,,,,,92.0 kWh,,,,,,,,,,,,,,,,,,4h45m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,0,0
Fiat E-Ulysse L3 50 kWh,N/A,,https://ev-database.org/car/1723/Fiat-E-Ulysse-L3-50-kWh,Not Available,Not Available,Jun 2022 - Jan 2024,237 Wh/km,370 Wh/km,289 Wh/km,168 Wh/km,299 Wh/km,226 Wh/km,125 km,15 min,64 km,189 km,1h 8min,35min,1h 58min,50.0 kWh,Lithium-ion,216,400 V,8 years,"160,000 km",46.3 kWh,NMC622,108s2p,400 V,Prismatic,No Data,CCS,Left Side - Front,7.4 kW AC,,270 km/h,101 kW DC,74 kW DC,Yes,No,-,No,No,12.1 sec,130 km/h,180 km,100 kW (136 PS),260 Nm,Front,No,-,-,-,No,No,No,No,180 km,257 Wh/km,0 g/km,2.9 l/100km,230 km,No Data,201 Wh/km,No Data,2.3 l/100km,5306 mm,1920 mm,2204 mm,1890 mm,3275 mm,1989 kg,2925 kg,1011 kg,800 L,3497 L,0 L,150 kg,Yes,750 kg,1000 kg,60 kg,8 people,"Yes, 3 seats",12.4 m,PSA EMP2,No,Small Passenger Van,N - Passenger Van,No,No,-,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,0,0
Tesla Model 3 Long Range RWD (Highland),N/A,,https://ev-database.org/car/3330/Tesla-Model-3-Long-Range-RWD,Oct 2025 - Dec 2025,Oct 2025 - Dec 2025,Oct 2025 - Dec 2025,148 Wh/km,188 Wh/km,165 Wh/km,93 Wh/km,141 Wh/km,115 Wh/km,432 km,15 min,256 km,688 km,3h 56min,2h 19min,6h 30min,,Lithium-ion,No Data,400 V,8 years,"192,000 km",,NMC,No Data,No Data,Cylindrical,LG 5M,CCS,Left Side - Rear,11 kW AC,,870 km/h,250 kW DC,125 kW DC,Yes,No,-,Yes,Yes,5.2 sec,201 km/h,580 km,235 kW (320 PS),450 Nm,Rear,No,-,-,-,No,No,No,No,580 km,136 Wh/km,0 g/km,1.5 l/100km,691 km,136 Wh/km,114 Wh/km,1.5 l/100km,1.3 l/100km,4720 mm,1849 mm,2089 mm,1441 mm,2875 mm,1822 kg,2186 kg,439 kg,594 L,977 L,88 L,70 kg,Yes,750 kg,1000 kg,55 kg,5 people,"Yes, 2 seats",11.7 m,Tesla 3/Y,Yes,Sedan,D - Large,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,79.0 kWh,,,,90%,93%,2025,89%,87%,,,,,,,,,,,,,,,,,82.0 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8h30m,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Mercedes-Benz EQE 350 4MATIC (MY23),N/A,,https://ev-database.org/car/1899/Mercedes-Benz-EQE-350-4MATIC,Not Available,Jun 2023 - Apr 2024,Jun 2023 - Apr 2024,,,,,,,376 km,15 min,171 km,547 km,3h 25min,1h 33min,5h 13min,,Lithium-ion,No Data,400 V,10 years,"250,000 km",89.0 kWh,NMC,No Data,No Data,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,640 km/h,170 kW DC,120 kW DC,Yes,Yes,ISO 15118-2,Yes,Yes,6.3 sec,210 km/h,,215 kW (292 PS),765 Nm,AWD,No,-,-,-,No,No,No,No,,,0 g/km,,530 km,197 Wh/km,168 Wh/km,2.2 l/100km,1.9 l/100km,4946 mm,1906 mm,2103 mm,1503 mm,3120 mm,2475 kg,2980 kg,580 kg,430 L,895 L,0 L,100 kg,Yes,750 kg,750 kg,No Data,5 people,No Data,12.5 m,Mercedes-Benz EVA2,Yes,Sedan,E - Executive,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,95%,91%,2022,83%,81%,,,185 Wh/km,241 Wh/km,209 Wh/km,124 Wh/km,185 Wh/km,152 Wh/km,,510 km,2580 kg,50% / 50%,1300 kg,1280 kg,,,98.0 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9h45m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Mercedes-Benz EQV 300 Long,N/A,,https://ev-database.org/car/1240/Mercedes-Benz-EQV-300-Long,Nov 2020 - Feb 2024,Sep 2020 - Feb 2024,Oct 2020 - Feb 2024,,,,,,,218 km,15 min,67 km,285 km,1h 59min,36min,2h 50min,100.0 kWh,Lithium-ion,288,400 V,No Data,No Data,90.0 kWh,No Data,96s3p,352 V,No Data,No Data,CCS,Left Side - Front,11 kW AC,,310 km/h,110 kW DC,95 kW DC,Yes,No,-,No Data,No Data,12.1 sec,160 km/h,,150 kW (204 PS),362 Nm,Front,No,-,-,-,No,No,No,No,,,0 g/km,,363 km,276 Wh/km,248 Wh/km,3.1 l/100km,2.8 l/100km,5140 mm,1928 mm,2244 mm,1901 mm,3200 mm,2635 kg,3500 kg,940 kg,1030 L,4630 L,0 L,No Data,No,0 kg,0 kg,0 kg,7 people,No Data,11.8 m,No Data,No Data,Small Passenger Van,N - Passenger Van,Yes,Varies by country,Varies by country,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,273 Wh/km,409 Wh/km,333 Wh/km,200 Wh/km,333 Wh/km,261 Wh/km,,310 km,2960 kg,53% / 47%,1580 kg,1380 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9h45m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Ford Focus Electric,N/A,,https://ev-database.org/car/1010/Ford-Focus-Electric,Sep 2013 - Oct 2015,Jul 2013 - Oct 2015,Jul 2013 - Jan 2015,,,,,,,75 km,N/A,N/A,75 km,41min,N/A,41min,23.0 kWh,Lithium-ion,No Data,No Data,No Data,No Data,,No Data,No Data,No Data,No Data,No Data,-,-,6.6 kW AC,,-,-,-,No,No,-,No,No,11.4 sec,135 km/h,,107 kW (145 PS),250 Nm,Front,No,-,-,-,No,No,No,No,,,0 g/km,,162 km,No Data,121 Wh/km,No Data,1.4 l/100km,4358 mm,1823 mm,No Data,1466 mm,No Data,1700 kg,2085 kg,460 kg,237 L,1125 L,No Data,No Data,No Data,No Data,No Data,No Data,5 people,No Data,No Data,No Data,No Data,Hatchback,C - Medium,No Data,No Data,No Data,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,19.6 kWh,,,,,,,,,,,178 Wh/km,261 Wh/km,217 Wh/km,122 Wh/km,206 Wh/km,156 Wh/km,,105 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3h30m,,,,,,66.0,0,0
NIO EL7 Standard Range,N/A,,https://ev-database.org/car/1788/NIO-EL7-Standard-Range,Not Available,Dec 2022 - Mar 2025,Dec 2022 - Mar 2025,207 Wh/km,288 Wh/km,245 Wh/km,144 Wh/km,230 Wh/km,184 Wh/km,255 km,15 min,121 km,376 km,2h 19min,1h 6min,3h 40min,75.0 kWh,Lithium-ion,118,400 V,No Data,No Data,73.5 kWh,LFP & NMC,118s1p,No Data,No Data,No Data,CCS,Right Side - Front,11 kW AC,,490 km/h,140 kW DC,110 kW DC,Yes,No,-,Yes,Yes,3.9 sec,200 km/h,355 km,480 kW (653 PS),850 Nm,AWD,No,-,-,-,No,No,No,No,355 km,207 Wh/km,0 g/km,2.3 l/100km,372 km,231 Wh/km,198 Wh/km,2.6 l/100km,2.2 l/100km,4912 mm,1987 mm,2271 mm,1720 mm,2960 mm,2421 kg,2890 kg,544 kg,570 L,1545 L,0 L,75 kg,Yes,750 kg,2000 kg,100 kg,5 people,"Yes, 2 seats",12.5 m,NIO NT2,Yes,SUV,JF - Luxury,Yes,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,93%,85%,2023,80%,79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Tesla Model X Performance,N/A,,https://ev-database.org/car/1199/Tesla-Model-X-Performance,Jun 2019 - Jul 2019,Jun 2019 - Jul 2019,Jun 2019 - Jul 2019,216 Wh/km,297 Wh/km,253 Wh/km,151 Wh/km,238 Wh/km,190 Wh/km,320 km,15 min,118 km,438 km,2h 54min,1h 5min,4h 14min,100.0 kWh,Lithium-ion,No Data,400 V,No Data,No Data,,No Data,No Data,No Data,No Data,No Data,Supercharger,Left Side - Rear,16.5 kW AC,,440 km/h,145 kW DC,100 kW DC,No,No,-,Yes,Yes,3.6 sec,250 km/h,440 km,,,AWD,No,-,-,-,No,No,No,No,440 km,216 Wh/km,0 g/km,2.4 l/100km,487 km,236 Wh/km,195 Wh/km,2.7 l/100km,2.2 l/100km,5037 mm,2070 mm,No Data,1684 mm,2965 mm,2572 kg,3120 kg,623 kg,No Data,2492 L,No Data,0 kg,Yes,450 kg,2250 kg,No Data,7 people,"Yes, 4 seats",12.4 m,Tesla S/X,Yes,SUV,JF - Luxury,No,No Data,No Data,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,95.0 kWh,,451 kW (613 PS),931 Nm,98%,81%,2019,72%,94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,0,0
Citroën ë-C3 Aircross Extended Range 54 kWh,N/A,,https://ev-database.org/car/3228/Citroen-e-C3-Aircross-Extended-Range-54-kWh,Since August 2025,Since July 2025,Since July 2025,181 Wh/km,261 Wh/km,218 Wh/km,122 Wh/km,206 Wh/km,162 Wh/km,206 km,15 min,92 km,298 km,1h 52min,50min,2h 57min,54.0 kWh,Lithium-ion,No Data,400 V,8 years,"160,000 km",,LFP,No Data,No Data,Prismatic,No Data,CCS,Left Side - Rear,7.4 kW AC,,350 km/h,100 kW DC,70 kW DC,Yes,No,-,No,No,13.0 sec,143 km/h,290 km,83 kW (113 PS),125 Nm,Front,No,-,-,-,No,No,No,No,290 km,184 Wh/km,0 g/km,2.1 l/100km,384 km,167 Wh/km,139 Wh/km,1.9 l/100km,1.6 l/100km,4395 mm,1795 mm,2020 mm,1660 mm,2672 mm,1607 kg,2070 kg,538 kg,460 L,1600 L,0 L,0 kg,Yes,550 kg,550 kg,65 kg,5 people,"Yes, 2 seats",10.9 m,STLA SmartCar,No,SUV,JB - Compact,Yes,No,-,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,53.5 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,0,0
Citroën ë-C4 54 kWh,N/A,,https://ev-database.org/car/1938/Citroen-e-C4-54-kWh,Jul 2024 - Dec 2024,Jun 2023 - Oct 2024,Jun 2023 - Oct 2024,159 Wh/km,216 Wh/km,185 Wh/km,103 Wh/km,167 Wh/km,132 Wh/km,239 km,15 min,121 km,359 km,2h 10min,1h 6min,3h 31min,54.0 kWh,Lithium-ion,102,400 V,8 years,"160,000 km",50.8 kWh,NMC811,102s1p,377 V,Prismatic,No Data,CCS,Left Side - Rear,11 kW AC,,490 km/h,107 kW DC,79 kW DC,Yes,No,-,No,No,9.2 sec,,330 km,115 kW (156 PS),260 Nm,Front,No,-,-,-,No,No,No,No,330 km,154 Wh/km,0 g/km,1.7 l/100km,415 km,149 Wh/km,122 Wh/km,1.7 l/100km,1.4 l/100km,4360 mm,1800 mm,2032 mm,1525 mm,2670 mm,1636 kg,2020 kg,459 kg,380 L,1250 L,0 L,80 kg,No,0 kg,0 kg,0 kg,5 people,"Yes, 2 seats",10.9 m,PSA e-CMP,No,Hatchback,C - Medium,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,80%,83%,2021,57%,63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 km/h,,,,,,,,,,11.0,0,0
Porsche Taycan GTS Sport Turismo,N/A,,https://ev-database.org/car/1561/Porsche-Taycan-GTS-Sport-Turismo,Feb 2022 - Feb 2024,Feb 2022 - Feb 2024,Feb 2022 - Feb 2023,204 Wh/km,270 Wh/km,233 Wh/km,140 Wh/km,209 Wh/km,173 Wh/km,315 km,15 min,216 km,531 km,2h 52min,1h 58min,5h 5min,93.4 kWh,Lithium-ion,396,800 V,8 years,"160,000 km",83.7 kWh,NMC712,198s2p,725 V,Pouch,No Data,CCS,Passenger Side - Front,11 kW AC,,930 km/h,268 kW DC,200 kW DC,Yes,Yes,ISO 15118-2,Yes,Yes,3.7 sec,250 km/h,425 km,440 kW (598 PS),850 Nm,AWD,No,-,-,-,No,No,No,No,425 km,197 Wh/km,0 g/km,2.2 l/100km,424 km,241 Wh/km,197 Wh/km,2.7 l/100km,2.2 l/100km,4963 mm,1966 mm,2144 mm,1391 mm,2900 mm,2385 kg,2875 kg,565 kg,446 L,1212 L,84 L,75 kg,No,0 kg,0 kg,0 kg,5 people,"Yes, 2 seats",11.7 m,VAG J1,Yes,Station/Estate,F - Luxury,No,Yes,Varies by country,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,85%,83%,2019,70%,73%,,9 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,Driver's Side - Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
